date,source,attributed_conversions,attributed_revenue,type,spends,partition_id,optimisation_target
2022-06-01,affiliate_prospecting,9.773536305012904,1063.8644023804768,incrementality,98.537499,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,affiliate_prospecting,9.171867894663112,998.371874002628,incrementality,98.537499,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,baseline,75.0742144998401,8171.9432813782,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,baseline,9.77857865979264,1064.41327042444,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,direct,5.215477641575545,567.7127327431747,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,direct,26.38440615000837,2871.983037147512,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,display_prospecting,0.8570193285262329,93.28786708485802,incrementality,128.19,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,display_prospecting,2.40466946787441,261.7519561523142,incrementality,128.19,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,display_retargeting,1.2527687934106169,136.36580272783232,incrementality,36.14,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,display_retargeting,0.1704865897967256,18.55772652882569,incrementality,36.14,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,google_performance,0,0,incrementality,0,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,google_performance,0,0,incrementality,0,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,organicsearch,0.6738945361604425,73.35445284140182,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,organicsearch,0.2024081646829416,22.03243886728085,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,organicsocial,8.773949438484998,955.0578403338769,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,organicsocial,17.18234032321559,1870.324071961545,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,paidsearch_brand,7.076171817349965,770.2521448398768,baseline,671.789998,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,paidsearch_brand,28.336212507753427,3084.4401498590933,baseline,671.789998,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,paidsearch_dynamic_search_ads_prospecting,2.2296731019471405,242.70333358153792,incrementality,120.76,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,paidsearch_dynamic_search_ads_prospecting,2.4674993631235638,268.5910865217982,incrementality,120.76,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,paidsearch_generic_prospecting,1.6794471783648317,182.8103987114949,incrementality,30.24,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,paidsearch_generic_prospecting,2.2800887190396675,248.1911507517954,incrementality,30.24,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,paidsocial_prospecting,2.672669368645079,290.92415599621074,incrementality,261.069999,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,paidsocial_prospecting,1.5007417614133447,163.35804025350927,incrementality,261.069999,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,paidsocial_retargeting,0.4172659792122836,45.42004119641877,incrementality,83.77,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,paidsocial_retargeting,0.6109190781015913,66.4994777370424,incrementality,83.77,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,radio,0.8820272169771299,96.01001406127692,incrementality,63.35,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,radio,0.3490722081682676,37.997044727822,incrementality,63.35,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-01,tv,7.42188479449262,807.883532123352,incrementality,1159.5600000000002,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-01,tv,23.160709112366234,2521.078675064382,incrementality,1159.5600000000002,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-02,affiliate_prospecting,10.557707003581294,1122.422134982604,incrementality,90.425,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-02,affiliate_prospecting,9.82975467747096,1045.0312958769955,incrementality,90.425,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-02,baseline,86.13627131895765,9157.410555196306,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-02,baseline,12.64682741011337,1344.5229174858553,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-02,direct,5.805390446177621,617.1888210949559,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-02,direct,30.744688292097525,3268.5618819015426,baseline,,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-02,display_prospecting,0.899406107543125,95.61861520711926,incrementality,132.24,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-02,display_prospecting,2.2067469998131437,234.60602553722427,incrementality,132.24,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-02,display_retargeting,1.3574845514068914,144.31833615757466,incrementality,34.96,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
2022-06-02,display_retargeting,0.1980849029050316,21.05901210850698,incrementality,34.96,932561105d21a54d3d1d2a941164ffec321cd76b,revenue
2022-06-02,google_performance,0,0,incrementality,0,932561105d21a54d3d1d2a941164ffec321cd76b,conversions
